a			ʌ
cefalo			tʃɛfɑˈlow
cefalu			tʃɛfɑˈlu
cegielski		tʃɪgiˈlski
ceiling		siˈlɪŋ
ceilings		siˈlɪŋz
ceja			sejˈjʌ
cejka			tʃejˈkʌ
cel			sɛˈl
cel(1)			siˈiˈɛˈl
cela			sɛˈlʌ
celadon		sɛˈlʌdɑˌn
celandine		sɛˈlʌndajˌn
celanese		sɛˈlʌniˌz
celani			tʃɛlɑˈni
celano			tʃɛlɑˈnow
celaya			sejlejˈʌ
cele			siˈl
celeb			sʌlɛˈb
celebate		sɛˈlʌbʌt
celebrant		sɛˈlʌbɹʌnt
celebrants		sɛˈlʌbɹʌnts
celebrate		sɛˈlʌbɹejˌt
celebrated		sɛˈlʌbɹejˌtʌd
celebrated(1)		sɛˈlʌbɹejˌtɪd
celebrates		sɛˈlʌbɹejˌts
celebrating		sɛˈlʌbɹejˌtɪŋ
celebration		sɛˌlʌbɹejˈʃʌn
celebrations		sɛˌlʌbɹejˈʃʌnz
celebratory		sʌlɛˈbɹʌtɔˌɹi
celebre		sɛˈlʌbɹʌ
celebrities		sʌlɛˈbɹɪtiz
celebrity		sʌlɛˈbɹɪti
celebrity's		sʌlɛˈbɹɪtiz
celebs			sʌlɛˈbz
celena			tʃɛlɛˈnʌ
celene			tʃɛˈlin
celentano		tʃɛlɛntɑˈnow
celerity		sʌlɛˈɹʌti
celeron		sɛˈlɜɹɑn
celery			sɛˈlɜɹi
celesta		sɪlɛˈstʌ
celeste		sʌlɛˈst
celestial		sʌlɛˈstʃʌl
celestin		sɛˈlɪstɪn
celestina		tʃɛlɛstiˈnʌ
celestine		tʃɛlɛstiˈni
celestino		tʃɛlɛstiˈnow
celestory		sʌlɛˈstɜɹi
celia			siˈljʌ
celibacy		sɛˈlʌbʌsi
celibate		sɛˈlɪbʌt
celica			sɛˈlɪkʌ
celie			sɛˈli
celimene		sɛˈlɪmiˌn
celina			sʌliˈnʌ
celinda		tʃɛliˈndʌ
celine			sʌliˈn
celio			siˈliow
celis			sɛˈlɪs
cell			sɛˈl
cell's			sɛˈlz
cella			sɛˈlʌ
cellar			sɛˈlɜɹ
cellars		sɛˈlɜɹz
celled			sɛˈld
celli			tʃɛˈli
cellini		tʃɛliˈni
cellio			tʃɛˈliow
cellist		tʃɛˈlʌst
cellmark		sɛˈlmɑˌɹk
cellmark's		sɛˈlmɑˌɹks
cellnet		sɛˈlnɛˌt
cello			tʃɛˈlow
cellophane		sɛˈlʌfejˌn
cellphone		sɛˈlfown
cellpro		sɛˈlpɹow
cells			sɛˈlz
cells'			sɛˈlz
cellstar		sɛˈlstɑˌɹ
cellucci		tʃɛluˈtʃi
cellular		sɛˈljʌlɜɹ
cellular's		sɛˈljʌlɜɹz
celluloid		sɛˈlʌlɔjˌd
cellulosa		sɛˌlulowˈsʌ
cellulose		sɛˈljʌlowˌs
celmer			sɛˈlmɜɹ
celnik			sɛˈlnɪk
celo			sɛˈlow
celo(1)		siˈlow
celo(2)		siˈiˈɛˈlowˈ
celona			tʃɛlowˈnʌ
celosia		tʃɛlowˈsiʌ
cels			sɛˈlz
celsius		sɛˈlsiʌs
celso			sɛˈlsow
celt			sɛˈlt
celt(1)		kɛˈlt
celtic			sɛˈltɪk
celtic(1)		kɛˈltɪk
celtics		sɛˈltɪks
celtics'		sɛˈltɪˌks
celts			sɛˈlts
celts(1)		kɛˈlts
cement			sʌmɛˈnt
cement(1)		sɪmɛˈnt
cemented		sʌmɛˈntʌd
cemented(1)		sɪmɛˈntɪd
cementing		sɪmɛˈntɪŋ
cementos		sɛmɛˈntows
cemeteries		sɛˈmʌtɛˌɹiz
cemetery		sɛˈmʌtɛˌɹi
cemetery(1)		sɛˈmɪtɛˌɹi
cemex			kɛˈmɛˌks
cemp			sɛˈmp
cencall		sɛˈnsɛˌl
cenci			tʃɛˈntʃi
cencor			sɛˈnkɔˌɹ
cendejas		sejndejˈjɑz
cenergy		sɛˈnɜɹdʒi
ceniceros		sejnisɛˈɹowz
cenith			sɛˈnɪθ
cenith's		sɛˈnɪθs
cenozoic		siˌnʌzowˈɪk
censer			sɛˈnsɜɹ
censor			sɛˈnsɜɹ
censored		sɛˈnsɜɹd
censoring		sɛˈnsɜɹɪŋ
censors		sɛˈnsɜɹz
censorship		sɛˈnsɜɹʃɪˌp
censure		sɛˈnʃɜɹ
censured		sɛˈnʃɜɹd
census			sɛˈnsʌs
censuses		sɛˈnsʌsɪz
cent			sɛˈnt
centanni		tʃɛntɑˈni
centanni(1)		sɛntɑˈni
centaur		sɛˈntɔˌɹ
centaur's		sɛˈntɔˌɹz
centauri		sɛntɑˈɹi
centaurs		sɛˈntɔˌɹz
centavos		sɛntɑˈvowˌs
centel			sɛˈntɛˌl
centel's		sɛˈntɛˌlz
centenarian		sɛˌntʌnɛˈɹiʌn
centenarians		sɛˌntʌnɛˈɹiʌnz
centenary		sɛˈntʌnɛˌɹi
centennial		sɛntɛˈniʌl
centennial's		sɛntɛˈniʌlz
centeno		tʃɛntɛˈnow
centeno(1)		sɛntɛˈnow
center			sɛˈntɜɹ
center(1)		sɛˈnɜɹ
center's		sɛˈntɜɹz
center's(1)		sɛˈnɜɹz
centerbanc		sɛˈntɜɹbæŋk
centerbank		sɛˈntɜɹbæˌŋk
centered		sɛˈntɜɹd
centerfielder		sɛˈntɜɹfiˌldɜɹ
centerfold		sɛˈntɜɹfowˌld
centering		sɛˈntɜɹɪŋ
centerior		sɛˌntɪˈɹiɜɹ
centerpiece		sɛˈntɜɹpiˌs
centerre		sɛˈntɜɹ
centerre's		sɛˈntɜɹz
centers		sɛˈntɜɹz
centers(1)		sɛˈnɜɹz
centers'		sɛˈntɜɹz
centers'(1)		sɛˈnɜɹz
centerville		sɛˈntɜɹvɪl
centex			sɛˈntɛˌks
centigrade		sɛˈntʌgɹejˌd
centigram		sɛˈntʌgɹæˌm
centime		sɛˈntajˌm
centimes		sɛˈntajˌmz
centimeter		sɛˈntʌmiˌtɜɹ
centimeters		sɛˈntʌmiˌtɜɹz
centimetre		sɛˈntʌmiˌtɜɹ
centimetres		sɛˈntʌmiˌtɜɹz
centipede		sɛˈntɪpiˌd
centner		sɛˈntnɜɹ
centocor		sɛˈntʌkɔˌɹ
centocor's		sɛˈntʌkɔˌɹz
centofanti		tʃɛntowfɑˈnti
centola		tʃɛntowˈlʌ
centoxin		sɛˌntɑˈksɪn
central		sɛˈntɹʌl
central's		sɛˈntɹʌlz
centrale		sɛntɹɑˈl
centralia		sɛntɹejˈliʌ
centralism		sɛˈntɹʌlɪˌzʌm
centralists		sɛˈntɹʌlɪsts
centrality		sɛntæˈlɪti
centralization		sɛˌntɹʌlɪzejˈʃʌn
centralize		sɛˈntɹʌlajˌz
centralized		sɛˈntɹʌlajˌzd
centralizing		sɛˈntɹʌlajˌzɪŋ
centrally		sɛˈntɹʌli
centram		sɛˈntɹæˌm
centre			sɛˈntɜɹ
centrella		sɛˌntɹɛˈlʌ
centres		sɛˈntɜɹz
centrex		sɛˈntɹʌks
centrifugal		sɛˈntɹɪfjuˌgʌl
centrifuge		sɛˈntɹʌfjuˌdʒ
centrifuges		sɛˈntɹʌfjuˌdʒɪz
centrist		sɛˈntɹɪst
centrists		sɛˈntɹɪsts
centro			sɛˈntɹow
centromin		sɛˈntɹʌmɪn
centronics		sɛˌntɹɑˈnɪks
centrust		sɛˈntɹʌˌst
centrust's		sɛˈntɹʌˌsts
cents			sɛˈnts
cents(1)		sɛˈns
centum			kɛˈntʌm
centuri		sɛntʊˈɹi
centuries		sɛˈntʃɜɹiz
centurion		sɛntʊˈɹiʌn
century		sɛˈntʃɜɹi
century's		sɛˈntʃɜɹiz
cenvill		sɛˈnvɪl
cep			sɛˈp
cepeda			sejpejˈdʌ
cepero			sejpɛˈɹow
cephalon		sɛˈfʌlɑˌn
cephalopod		sɛˈfʌlʌpɑˌd
cephalosporin		sɛˌfʌlɔˈspɜɹɪn
cephas			sɛˈfʌz
cephus			sɛˈfʌs
cera			sɛˈɹʌ
ceraceous		sɜɹejˈʃʌs
ceradyne		sɛˈɹʌdajˌn
cerami			tʃɜɹɑˈmi
ceramic		sɜɹæˈmɪk
ceramics		sɜɹæˈmɪks
cerankosky		sɛˌɹʌŋkɔˈski
cerasoli		tʃɜɹɑsowˈli
ceravolo		tʃɜɹɑvowˈlow
cerbone		tʃɜɹˈbown
cercone		tʃɜɹkowˈni
cerda			tʃɛˈɹdʌ
cereal			sɪˈɹiʌl
cereals		sɪˈɹiʌlz
cerebral		sɛˈɹʌbɹʌl
cerebral(1)		sɜɹiˈbɹʌl
cerebrally		sɜɹiˈbɹʌli
ceredase		sɛˈɹʌdejˌz
cereghino		tʃɜɹɛgiˈnow
cerelia		tʃɜɹɛˈliʌ
ceremonial		sɛˌɹʌmowˈniʌl
ceremonies		sɛˈɹʌmowˌniz
ceremony		sɛˈɹʌmowˌni
cereno			sɜɹejˈnow
ceres			sɪˈɹiz
cerezo			sɛˌɹejˈzow
cerezo(1)		sɜɹejˈzow
cerf			sɜɹˈf
ceridian		sɜɹɪˈdiʌn
cerino			tʃɜɹiˈnow
cerio			tʃɛˈɹiow
cerise			sɜɹiˈs
cermak			tʃɜɹˈmʌk
cern			sɜɹˈn
cerna			tʃɛˈɹnʌ
cerney			sɜɹˈni
cerniglia		tʃɜɹniˈgliʌ
cernuda		sɜɹnuˈdʌ
cernuda's		sɜɹnuˈdʌz
cerny			sɜɹˈni
cerone			tʃɜɹowˈni
cerra			sɛˈɹʌ
cerrato		tʃɜɹɑˈtow
cerreta		tʃɜɹɛˈtʌ
cerrito		tʃɜɹiˈtow
cerritos		sɛɹiˈtows
cerro			sɛˈɹow
cerrone		tʃɜɹowˈni
cerruti		tʃɜɹuˈti
cerruti(1)		sɜɹuˈti
cerska			kɜɹˈskʌ
cerska(1)		sɜɹˈskʌ
certain		sɜɹˈtʌn
certainly		sɜɹˈtʌnli
certainteed		sɜɹˈtʌntiˌd
certainties		sɜɹˈtʌntiz
certainty		sɜɹˈtʌnti
certificate		sɜɹtɪˈfɪkʌt
certificates		sɜɹtɪˈfɪkʌts
certification		sɜɹˌtʌfʌkejˈʃʌn
certifications		sɜɹˌtʌfʌkejˈʃʌnz
certified		sɜɹˈtʌfajˌd
certified's		sɜɹˈtʌfajˌdz
certifies		sɜɹˈtʌfajˌz
certify		sɜɹˈtʌfajˌ
certifying		sɜɹˈtʌfajˌɪŋ
certitude		sɜɹˈtʌtuˌd
certo			tʃɛˈɹtow
certron		sɜɹˈtɹɑn
cerulli		tʃɜɹuˈli
cerullo		tʃɜɹuˈlow
cerus			sɛˈɹʌs
cerutti		tʃɜɹuˈti
cervantes		sɛɹvɑˈntɛs
cervantez		sɛɹvɑˈntɛz
cerveceria		sɜɹˌvʌsɪˈɹiʌ
cervenka		sɛɹvejˈŋkʌ
cerveny		tʃɜɹviˈni
cervera		tʃɜɹvɛˈɹʌ
cervesato		sɛˌɹvɛsɑˈtowˌ
cerveza		sɜɹˌvejˈzʌ
cerveza(1)		sɛˌɹvejˈzʌ
cervi			tʃɛˈɹvi
cervical		sɜɹˈvʌkʌl
cervical(1)		sɜɹˈvɪkʌl
cervini		tʃɜɹviˈni
cervix			sɜɹˈvɪks
cervone		tʃɜɹvowˈni
ceryl			sɛˈɹʌl
cesar			siˈzɜɹ
cesare			tʃejzɑˈɹej
cesario		tʃɛsɑˈɹiow
cesaro			tʃɛsɑˈɹow
cesarz			sejˈsɑɹz
cesena			tʃɛsɛˈnʌ
cesium			siˈziʌm
cespedes		sejspejˈdɛs
cessation		sɛˌsejˈʃʌn
cessna			sɛˈsnʌ
cessna(1)		sɛˈznʌ
cessna's		sɛˈsnʌz
cessna's(1)		sɛˈznʌz
cesspool		sɛˈspuˌl
cestaro		tʃɛstɑˈɹow
ceta			sɛˈtʌ
ceta(1)		siˈiˈtiˈejˈ
cetacean		sɪtejˈʃʌn
cetacean(1)		sitejˈʃʌn
cetec			siˈtɛˌk
cetera			sɛˈtɜɹʌ
cetus			siˈtʌs
cetus's		siˈtʌsɪz
cevallos		sejvɑˈlowz
cevaxs			sɛˈvæksɪz
ceylon			sɪlɑˈn
ceylon(1)		silɑˈn
cezanne		sɛˌzæˈn
cezanne's		sɛˌzæˈnz
cha			tʃɑˈ
cha-chas		tʃɑˈtʃɑˌz
chablis		ʃʌbliˈ
chabon			tʃejˈbʌn
chabot			ʃʌbowˈ
chacabuco		tʃæˌkʌbjuˈkow
chace			tʃejˈs
chachere		ʃʌʃɪˈɹ
chachi			tʃɑˈtʃi
chacin			ʃejˈsɪn
chacko			tʃæˈkow
chacon			tʃæˈkʌn
chad			tʃæˈd
chad's			tʃæˈdz
chadbourne		ʃʌdbʊˈɹn
chadd			tʃæˈd
chadderdon		tʃʌdɜɹˈdʌn
chaddock		tʃæˈdʌk
chadel			tʃæˈdʌl
chadian		tʃejˈdiʌn
chadick		tʃæˈdɪk
chadli			tʃæˈdli
chadron		tʃæˈdɹʌn
chadwell		tʃæˈdwɛˌl
chadwick		tʃæˈdwɪk
chadwick's		tʃæˈdwɪks
chae			tʃajˈ
chaebol		tʃejˈbʌl
chafe			tʃejˈf
chafed			tʃejˈft
chafee			tʃæˈfi
chafee(1)		tʃejˈfi
chafee's		tʃejˈfiz
chafee's(1)		tʃæˈfiz
chafes			tʃejˈfs
chafete		tʃʌfiˈt
chaff			tʃæˈf
chaffee		tʃæˈfi
chaffin		tʃæˈfɪn
chaffins		tʃæˈfɪnz
chaffy			tʃæˈfi
chafin			tʃæˈfɪn
chafing		tʃejˈfɪŋ
chagall		tʃʌgɑˈl
chagall(1)		tʃʌgæˈl
chagnon		tʃæˈgnʌn
chagrin		ʃʌgɹɪˈn
chagrined		ʃʌgɹɪˈnd
chai			tʃajˈ
chaidez		tʃɑiˈdɛz
chaiken		tʃejˈkʌn
chaikin		tʃejˈkɪn
chaim			hajˈɪm
chain			tʃejˈn
chain's		tʃejˈnz
chained		tʃejˈnd
chaining		tʃejˈnɪŋ
chains			tʃejˈnz
chains'		tʃejˈnz
chainsaw		tʃejˈnsɔˌ
chainsaws		tʃejˈnsɔˌz
chair			tʃɛˈɹ
chaired		tʃɛˈɹd
chaires		ʃɛˈɹz
chairez		tʃɑɪˈɹɛz
chairing		tʃɛˈɹɪŋ
chairman		tʃɛˈɹmʌn
chairman's		tʃɛˈɹmʌnz
chairmanship		tʃɛˈɹmʌnʃɪˌp
chairmanships		tʃɛˈɹmʌnʃɪˌps
chairmen		tʃɛˈɹmɪn
chairpeople		tʃɛˈɹpiˌpʌl
chairperson		tʃɛˈɹpɜɹˌsʌn
chairs			tʃɛˈɹz
chairwoman		tʃɛˈɹwʊˌmʌn
chairwomen		tʃɛˈɹwɪˌmɛn
chaise			ʃejˈz
chaisson		tʃejˈsʌn
chait			tʃejˈt
chajet			tʃæˈdʒʌt
chalabi		tʃʌlɑˈbi
chalasani		tʃæˌlʌsæˈni
chalcedony		tʃæˈlsʌdowˌni
chalet			ʃæˈlejˌ
chalet(1)		ʃʌlejˈ
chalets		ʃʌlejˈz
chalets(1)		ʃæˈlejˌz
chalfant		tʃæˈfʌnt
chalfant(1)		tʃæˈfɑnt
chalfin		tʃæˈlfɪn
chalice		tʃæˈlɪs
chalifoux		ʃæˈlɪfu
chalk			tʃɑˈk
chalk(1)		tʃɔˈk
chalked		tʃɔˈkt
chalker		tʃɔˈkɜɹ
chalking		tʃɔˈkɪŋ
chalkley		tʃæˈlkli
chalks			tʃɔˈks
challender		tʃʌlɛˈndɜɹ
challenge		tʃæˈlʌndʒ
challenged		tʃæˈlʌdʒd
challenger		tʃæˈlʌndʒɜɹ
challenger(1)		tʃæˈlɪndʒɜɹ
challenger's		tʃæˈlʌndʒɜɹz
challengers		tʃæˈlʌndʒɜɹz
challengery		tʃæˈlʌndʒɜɹi
challenges		tʃæˈlʌndʒɪz
challenging		tʃæˈlʌndʒɪŋ
challis		ʃæˈli
chalmers		tʃɑˈmɜɹz
chalmette		ʃælmɛˈt
chaloupka		tʃʌluˈpkʌ
chaloux		ʃʌluˈ
chalsty		tʃæˈlsti
chalupa		tʃʌluˈpʌ
cham			tʃæˈm
chamber		tʃejˈmbɜɹ
chamber's		tʃejˈmbɜɹz
chambered		tʃejˈmbɜɹd
chamberlain		tʃejˈmbɜɹlʌn
chamberlain(1)		tʃejˈmbɜɹlɪn
chamberlain's		tʃejˈmbɜɹlʌnz
chamberland		tʃæˈmbɜɹlʌnd
chamberlayne		tʃejˈmbɜɹlejˌn
chamberlin		tʃejˈmbɜɹlɪn
chambers		tʃejˈmbɜɹz
chambers'		tʃejˈmbɜɹz
chambers's		tʃejˈmbɜɹzɪz
chamblee		tʃæˈmbli
chambless		ʃʌmbliˈs
chamblin		tʃæˈmblɪn
chambliss		tʃæˈmblɪs
chambon		tʃæˈmbʌn
chameleon		tʃʌmɛˈliʌn
chameleon(1)		kʌmiˈliʌn
chamlee		tʃæˈmli
chamlong		tʃæˈmlɔˌŋ
chamness		tʃæˈmnɪs
chamonix		tʃæˈmʌnɪks
chamonix(1)		ʃæmowni
chamorro		tʃʌmɔˈɹow
chamorro(1)		tʃowmɔˈɹow
chamorro's		tʃʌmɔˈɹowz
champ			tʃæˈmp
champa			kɑˈmpʌ
champagne		ʃæmpejˈn
champagnes		ʃæmpejˈnz
champaign		tʃæmpejˈn
champaign-urbana	tʃæmpejˈnɜɹbæˈnʌ
champeau		ʃæmpowˈ
champine		tʃæˈmpajˌn
champion		tʃæˈmpiʌn
champion's		tʃæˈmpiʌnz
championed		tʃæˈmpiʌnd
championing		tʃæˈmpiʌnɪŋ
champions		tʃæˈmpiʌnz
championship		tʃæˈmpiʌnʃɪˌp
championships		tʃæˈmpiʌnʃɪˌps
champlain		ʃæmplejˈn
champlin		tʃæˈmplɪn
champney		tʃæˈmpni
champoux		ʃæmpuˈ
champs			tʃæˈmps
chan			tʃæˈn
chan's			tʃæˈnz
chana			tʃæˈnʌ
chance			tʃæˈns
chancellor		tʃæˈnsʌlɜɹ
chancellor(1)		tʃæˈnslɜɹ
chancellor's		tʃæˈnsʌlɜɹz
chancellors		tʃæˈnsʌlɜɹz
chancery		tʃæˈnsɜɹi
chances		tʃæˈnsʌz
chances(1)		tʃæˈnsɪz
chancey		tʃæˈnsi
chancy			tʃæˈnsi
chand			tʃæˈnd
chanda			tʃæˈndʌ
chandelier		ʃændʌlɪˈɹ
chandeliers		ʃæˌndʌlɪˈz
chandler		tʃæˈndlɜɹ
chandler's		tʃæˈndlɜɹz
chandley		tʃæˈndli
chandon		tʃæˈndɪn
chandon(1)		ʃæˌndɑˈn
chandra		tʃæˈndɹʌ
chandrika		tʃɑndɹiˈkʌ
chandrika(1)		ʃɑndɹiˈkʌ
chandross		tʃændɹɔˈs
chanel			ʃʌnɛˈl
chaney			tʃejˈni
chang			tʃæˈŋ
chang-hsin		tʃɑˈŋʃɪˈn
chang-ming		tʃɑˈŋmɪˈŋ
chang-ming(1)		tʃæˈŋmɪˈŋ
changchun		tʃɑˈŋtʃʊˈn
change			tʃejˈndʒ
changeable		tʃejˈndʒʌbʌl
changed		tʃejˈndʒd
changeover		tʃejˈndʒowˌvɜɹ
changeovers		tʃejˈndʒowˌvɜɹz
changer		tʃejˈndʒɜɹ
changers		tʃejˈndʒɜɹz
changes		tʃejˈndʒʌz
changes(1)		tʃejˈndʒɪz
changing		tʃejˈndʒɪŋ
changsho		tʃæˈŋʃowˈ
chanin			tʃæˈnɪn
chanishiva		ʃɑnɪʃiˈvʌ
chanley		tʃæˈnli
channel		tʃæˈnʌl
channel's		tʃæˈnʌlz
channeled		tʃæˈnʌld
channeling		tʃæˈnʌlɪŋ
channeling(1)		tʃæˈnlɪŋ
channell		tʃæˈnʌl
channell's		ʃʌnɛˈlz
channels		tʃæˈnʌlz
channing		tʃæˈnɪŋ
channon		tʃæˈnʌn
chanos			tʃɑˈnows
chant			tʃæˈnt
chantal		tʃæˈntʌl
chanted		tʃæˈntɪd
chantilly		ʃæˌntɪˈli
chanting		tʃæˈntɪŋ
chants			tʃæˈnts
chanukah		hɑˈnʌkʌ
chany			tʃejˈni
chao			tʃawˈ
chaos			kejˈɑs
chaotic		kejɑˈtɪk
chap			tʃæˈp
chapa			tʃɑˈpʌ
chaparral		ʃæˌpɜɹæˈl
chaparro		kɑpɑˈɹow
chapas			tʃɑˈpʌs
chapdelaine		ʃæˈpdɪlejn
chapek			tʃæˈpɪk
chapel			tʃæˈpʌl
chapel's		tʃæˈpʌlz
chapell		ʃʌpɛˈl
chapelle		ʃʌpɛˈl
chaperone		ʃæˈpɜɹowˌn
chaperones		ʃæˈpɜɹowˌnz
chaperoning		ʃæˈpɜɹowˌnɪŋ
chapin			ʃʌpæˈn
chaplain		tʃæˈplʌn
chaplains		tʃæˈplʌnz
chaplan		tʃæˈplʌn
chaplin		tʃæˈplʌn
chaplin(1)		tʃæˈplɪn
chaplin's		tʃæˈplɪnz
chapman		tʃæˈpmʌn
chapman's		tʃæˈpmʌnz
chapnick		tʃæˈpnɪk
chapoton		tʃæˈpowtɑˌn
chapp			tʃæˈp
chappaquiddick		tʃæˌpʌkwɪˈdɪk
chappel		tʃæˈpʌl
chappelear		ʃæˈpɪlɜɹ
chappell		tʃæˈpʌl
chappelle		ʃʌpɛˈl
chappie		tʃæˈpi
chapple		tʃæˈpʌl
chappuis		ʃæˈpuɪz
chaps			tʃæˈps
chapter		tʃæˈptɜɹ
chapters		tʃæˈptɜɹz
chaput			tʃæˈpʌt
char			tʃɑˈɹ
chara			tʃɑˈɹʌ
character		kɛˈɹɪktɜɹ
character's		kɛˈɹɪktɜɹz
characteristic		kɛˌɹʌktɜɹɪˈstɪk
characteristically	kɛˌɹʌktɜɹɪˈstɪkli
characteristics	kɛˌɹʌktɜɹɪˈstɪks
characterization	kɛˌɹʌktɜɹɪzejˈʃʌn
characterizations	kɛˌɹʌktɜɹɪzejˈʃʌnz
characterize		kɛˈɹʌktɜɹajˌz
characterized		kɛˈɹʌktɜɹajˌzd
characterizes		kɛˈɹʌktɜɹajˌzʌz
characterizing		kɛˈɹɪktɜɹajˌzɪŋ
characters		kæˈɹɪktɜɹz
characters(1)		kɛˈɹʌktɜɹz
characters'		tʃɛˈɹʌktɜɹz
charade		ʃɜɹejˈd
charades		ʃɜɹejˈdz
charalambos		tʃɑˌɹʌlɑˈmbows
charasse		tʃɛˈɹæs
charboneau		ʃɑˈɹbʌnow
charbonneau		ʃɑˈɹbʌnowˌ
charbonnet		ʃɑˈɹbʌnɪt
charbonnet(1)		ʃɑˈɹbʌnej
charcoal		tʃɑˈɹkowˌl
charcoals		tʃɑˈɹkowˌlz
chard			tʃɑˈɹd
chardonnay		tʃɑɹdɑˈnej
chardonnays		tʃɑɹdɑˈnejz
charen			tʃɑˈɹʌn
charen's		tʃɑˈɹʌnz
charest		ʃɑɹɛˈst
charette		ʃɜɹɛˈt
charge			tʃɑˈɹdʒ
chargeable		tʃɑˈɹdʒʌbʌl
charged		tʃɑˈɹdʒd
charger		tʃɑˈɹdʒɜɹ
chargers		tʃɑˈɹdʒɜɹz
charges		tʃɑˈɹdʒʌz
charges(1)		tʃɑˈɹdʒɪz
chargeurs		tʃɑɹgjuˈɹz
charging		tʃɑˈɹdʒɪŋ
chargit		tʃɑˈɹdʒɪt
chargois		ʃɑɹgwɑˈ
chariot		tʃɛˈɹiʌt
chariots		tʃɛˈɹiʌts
charisma		kɜɹɪˈzmʌ
charismatic		kɛɹɪzmæˈtɪk
charismatics		kɛˌɹɪzmæˈtɪks
charissa		kɑɹiˈsʌ
charita		kɑɹiˈtʌ
charitable		tʃæˈɹʌtʌbʌl
charitable(1)		tʃɛˈɹʌtʌbʌl
charitably		tʃɛˈɹɪtʌbli
charities		tʃɛˈɹʌtiz
charities(1)		tʃɛˈɹɪtiz
charities'		tʃɛˈɹɪtiz
charity		tʃɛˈɹɪti
charity's		tʃɛˈɹʌtiz
charla			tʃɑˈɹlʌ
charland		tʃɑˈɹlʌnd
charlatan		ʃɑˈɹlʌtʌn
charlatans		ʃɑˈɹlʌtʌnz
charlayne		ʃɑɹlejˈn
charle			tʃɑˈɹl
charlebois		ʃɑˈɹlɪbwɑ
charleen		tʃɑɹliˈn
charlemagne		ʃɑˈɹlʌmejˌn
charlene		ʃɑɹliˈn
charles		tʃɑˈɹlz
charles(1)		tʃɑˈɹʌlz
charles'		tʃɑˈɹlz
charles'(1)		tʃɑˈɹʌlz
charles's		tʃɑˈɹlzɪz
charleston		tʃɑˈɹlstʌn
charleston(1)		tʃɑˈɹʌlstʌn
charleston's		tʃɑˈɹlstʌnz
charleston's(1)	tʃɑˈɹʌlstʌnz
charlestown		tʃɑˈɹlstawˌn
charlestown(1)		tʃɑˈɹʌlstawˌn
charlesworth		tʃɑˈɹʌlswɜɹθ
charlesworth(1)	tʃɑˈɹʌlzwɜɹθ
charlet		tʃɑˈɹlɪt
charlevoix		ʃɑˈɹlʌvwʌ
charley		tʃɑˈɹli
charley's		tʃɑˈɹliz
charlie		tʃɑˈɹli
charlie's		tʃɑˈɹliz
charlier		tʃɑˈɹliɜɹ
charline		ʃɑɹliˈn
charlot		tʃɑˈɹlʌt
charlotte		ʃɑˈɹlʌt
charlotte's		ʃɑˈɹlʌts
charlottesville	ʃɑˈɹlʌtsvɪˌl
charlottetown		ʃɑˈɹlʌtTawˌn
charlotteville		ʃɑˈɹlʌtvɪˌl
charls			tʃɑˈɹlz
charlson		tʃɑˈɹlsʌn
charlton		tʃɑˈɹltʌn
charm			tʃɑˈɹm
charmain		ʃɑɹmejˈn
charmaine		ʃɑɹmejˈn
charmed		tʃɑˈɹmd
charmer		tʃɑˈɹmɜɹ
charmers		tʃɑˈɹmɜɹz
charmian		tʃɑˈɹmiʌn
charming		tʃɑˈɹmɪŋ
charmingly		tʃɑˈɹmɪŋli
charmion		tʃɑˈɹmiʌn
charms			tʃɑˈɹmz
charney		tʃɑˈɹni
charnley		tʃɑˈɹnli
charnock		tʃɑˈɹnʌk
charon			kɛˈɹʌn
charpentier		ʃɑˌɹpʌntɪˈɹ
charpie		tʃɑˈɹpi
charred		tʃɑˈɹd
charren		tʃɛˈɹʌn
charrette		ʃʌɹɛˈt
charrier		tʃæˈɹiɜɹ
charring		tʃɑˈɹɪŋ
charron		tʃɛˈɹʌn
charron(1)		kɛˈɹʌn
charry			tʃæˈɹi
chart			tʃɑˈɹt
charted		tʃɑˈɹtʌd
charted(1)		tʃɑˈɹtɪd
charter		tʃɑˈɹtɜɹ
charter's		tʃɑˈɹtɜɹz
chartered		tʃɑˈɹtɜɹd
charterhouse		tʃɑˈɹtɜɹhawˌs
chartering		tʃɑˈɹtɜɹɪŋ
charters		tʃɑˈɹtɜɹz
chartier		tʃɑˈɹtiɜɹ
charting		tʃɑˈɹtɪŋ
chartist		tʃɑˈɹtɪst
chartists		tʃɑˈɹtɪsts
chartrand		tʃɑˈɹtɹʌnd
chartres		tʃɑˈɹtɹiz
chartreuse		ʃɑɹtɹuˈz
chartreuse(1)		ʃɑɹtɹuˈs
charts			tʃɑˈɹts
chartwell		tʃɑˈɹtwɛˌl
charvat		tʃɑˈɹvʌt
charwoman		tʃɑˈɹwʊmʌn
charwomen		tʃɑˈɹwɪmʌn
chary			tʃɑˈɹi
charyl			tʃæˈɹʌl
chas			tʃɑˈz
chase			tʃejˈs
chase's		tʃejˈsɪz
chased			tʃejˈst
chasen			tʃejˈsʌn
chaser			tʃejˈsɜɹ
chasers		tʃejˈsɜɹz
chases			tʃejˈsʌz
chases(1)		tʃejˈsɪz
chasin			tʃæˈsɪn
chasing		tʃejˈsɪŋ
chaska			tʃæˈskʌ
chasm			kæˈzʌm
chason			tʃæˈsʌn
chasse			tʃæˈs
